№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
;;;;;
115;51995;Бекон нарезка в/к Классический 0,5кг в/у Мясокомбинат Эко (КОД 51995) (-18°С);30х0,5кг;шт;257,06
;;;;;
116;97753;Бекон нарезка в/к, в/у сервировочн, 10х0,5кг кат.В, МПЗ Ремит, Россия (КОД 97753) (-18°С);10х500гр;шт;383,5
;;"Sliced Bacon, boiled smoked, 500g\pack, ""Remit"", Russia";;;
117;21180;Бекон нарезка с/к 500гр в/у зам продукт из свинины Мясницкий Ряд™ Россия (КОД 21180) (-18°С);10х500гр;шт;251,9
;;;;;
118;12949;Бекон нарезка с/к в/у с/м 0,5кг Мясокомбинат Эко (КОД 12949) (-18°С);30х0,5кг;шт;260,26
;;Sliced Bacon, cold smoked, frozen, 0,5kg/pack, Russia;;;
119;52437;Бекон нарезка с/к Экстра 500гр в/у охл продукт из свинины Черкизовский МПЗ Россия (КОД 52437) (0°С);21х500гр;шт;282,79
;;;;;
120;14745;"Бекон нарезка с/к, в/у, с/м, 10х1,0кг. ""ВЕЛКОМ"" (КОД 14745) (-18°С)";10шт*1кг;кг;472,51
;;"Sliced Bacon, cold smoked,  frozen, vacuum pack, 1 kg, ""VELKOM""";;;
121;58493;Бекон обрезь с/к ~0,5кг в/у набор Мясницкий ряд Россия (КОД 58493) (-18°С);10х~0,5кг;кг;280,01
;;;;;
;;Ветчина /;;;
122;90576;"Ветчина ""Тост Хэм"" ~2,9кг Черкизово™ Отечественный продукт Россия (КОД 90576) (0°С)";9кг;кг;264,66
;;"Ham ""Tost ham"", 3kg\pc, Cherkizovskiy, Russia";;;
123;46409;"Ветчина для пиццы нарезка круг ?50мм 500гр в/у ""Каждому по вкусу"" Мясницкий ряд (КОД 46409) (-18°С)";10х500гр;шт;183,54
;;;;;
124;11446;Ветчина из окорока ~3,8кг ?120мм Микояновский МКТ Россия (010907) (КОД 11446) (0°С);~8кг;кг;265,76
;;Ham, 3.8kg\pc, d120mm, Mikoyanovskiy, Russia;;;
125;48578;Ветчина с индейкой ~2,7кг нмо Империя вкуса™ Черкизово Россия (1030803235) (КОД 48578) (0°С);2х~2,7кг;кг;336,69
;;;;;
126;49071;Ветчина со свиным окороком из мяса кур ~2,7кг Империя вкуса™ Черкизово, Россия (КОД 49071) (0°С);2х2,7кг;кг;355,82
;;"Chicken&Pork Ham ""Imperiya Vkusa"", 2.8kg\pc, Cherkizovskiy, Russia";;;
;;Итальянские деликатесы /;;;
127;60494;Брезаола говядина сыровяленая продукт ~1кг El Parador® Россия (КОД 60494) (0°С);~1кг;кг;3 885,00
;;;;;
128;40635;Окорок Пармский формов свиной б/к с/в ~1,5-2,5 кг в/у Dobrosco® Россия (КОД 40635) (0°С);~12кг;кг;1 686,25
;;;;;
;;Колбаса, купаты /;;;
;;Колбасы, купаты прочие /;;;
129;47709;Колбаса Мортаделла вареная ~ 1,8кг/шт ?~15,5см Дымов Россия (2055) (КОД 47709) (0°С);~10кг;кг;695,64
;;;;;
130;46938;Колбаса Пепперони с/к нарезка D50 500гр в/у Мясницкий ряд® Россия (КОД 46938) (-18°С);10х500гр;шт;280,8
;;;;;
131;20419;Колбаса Пепперони с/к нарезка топпинг D48 1кг пл/конт мгс Дымов® Россия (5075) (ПУ) (КОД 20419) (-18°С);8х1кг;шт;721,8
;;;;;
132;53787;"Колбаски ""Гриль"" баранина Рамай в/к 20см ?24мм 80гр/шт 560гр/уп в/у Обнинский МПК(КОД 53787)(-18°С)";10х560гр;упак.;252,18
;;;;;
133;58823;"Колбаски ""Гриль"" говяжьи МИНИ Рамай в/к 7см ?24мм 25гр/шт 1кг/уп Халяль Обнинский МПК (КОД 58823) (-18°С)";5х1кг;упак.;546
;;;;;
134;56138;"Колбаски ""Гриль"" говяжьи Халяль Рамай в/к 20см ?24мм 80гр/шт 560гр в/у Обнинский (КОД 56138) (-18°С)";10х560гр;упак.;290,3
;;;;;
135;58831;"Колбаски ""Гриль"" куриные МИНИ Рамай в/к 7см ?24мм 25гр/шт 1кг/уп Халяль Обнинский МПК (КОД 58831) (-18°С)";5х1кг;упак.;494
;;;;;
136;58835;"Колбаски ""Гриль"" куриные Рамай в/к 20см ?24мм 80гр/шт 560гр/уп в/у Халяль Обнинский МПК (КОД 58835) (-18°С)";10х560гр;упак.;262,08
;;;;;
137;58822;Колбаски Баварские Рамай в/к МИНИ 7см ?24мм 25гр/шт 1кг/уп Халяль Обнинский МПК (КОД 58822) (-18°С);5х1кг;упак.;494
;;;;;
138;20860;Колбаски Баварские с зеленью п/к 18см ?22мм 340гр/5шт в/у кат.Б, Столичный МПЗ (КОД 20860) (-18°С);48х340гр;шт;259,23
;;;;;
139;20868;Колбаски Баварские с сыром п/к 18см ?22мм 340гр/5шт в/у кат.Д, Столичный МПЗ (КОД 20868) (-18°С);48х340гр;шт;264,06
;;;;;
140;20869;Колбаски Баварские с сыром п/к 21см ?22мм 395гр/5шт в/у кат.Д, Столичный МПЗ (КОД 20869) (-18°С);32х395гр;шт;320,6
;;;;;
141;20872;Колбаски Баварские шашлычные п/к 18см ?22мм 340гр/5шт в/у кат.Б, Столичный МПЗ (КОД 20872) (-18°С);48х340гр;шт;241,79
;;;;;
142;20884;Колбаски Говяжьи в/к 18см ?22мм 340гр/5шт в/у кат.Б, Столичный МПЗ (КОД 20884) (-18°С);48х340гр;шт;231,65
;;;;;
143;58530;"Колбаски и сосиски ассорти ""Бавария"" гриль ~1100гр в/у Ремит Россия (79984) (КОД 58530) (-18°С)";5х~1100гр;кг;669,5
;;;;;
144;20887;Колбаски Куриные Традиционные в/к 18см ?22мм 340гр/5шт в/у, 1й сорт, Столичный МПЗ(КОД 20887)(-18°С);48х340гр;шт;262,89
;;;;;
145;59368;Колбаски свиные п/к с сыром ~150гр/шт 22см ?25мм ~1,2кг в/у ХотДогБульдог Полоусов (КОД 59368) (-18°С);~8кг;кг;475,99
;;;;;
146;59563;Колбаски свиные п/к с сыром ~150гр/шт 22см ?25мм 750гр в/у ХотДогБульдог Полоусов (КОД 59563) (-18°С);10х750гр;упак.;357
;;;;;
147;16810;Чоризо в/к нарезка 1кг пл.конт мясное колбасное изделие Ремит Россия (КОД 16810) (-18°С);8х1кг;шт;616,28
;;;;;
148;46937;Чоризо с/к нарезка ?50мм 500гр в/у зам Мясницкий ряд® Россия (КОД 46937) (-18°С);10х500гр;шт;272,27
;;;;;
;;Сосиски, хот доги /;;;
;;Сосиски прочие /;;;
149;59369;Сосиски говяжьи ~90гр/шт 20см ?24мм 900гр в/у ХотДогБульдог Полоусов (КОД 59369) (-18°С);15х900гр;упак.;415,8
;;;;;
150;58818;Сосиски для хот-дога Аппетитные с говядиной 800гр/упак в/м в/у Мираторг-Курск Россия (КОД 58818) (-18°С);20х800гр;шт;520,27
;;;;;
151;59159;Сосиски для хот-дога Аппетитные с курицей 800гр/упак в/м в/у Мираторг-Курск Россия (КОД 59159) (-18°С);20х800гр;упак.;399
;;;;;
152;59160;Сосиски для хот-дога Аппетитные со свининой 800гр/упак в/м в/у Мираторг-Курск Россия (КОД 59160) (-18°С);20х800гр;упак.;415,8
;;;;;
153;59564;Сосиски куриные ~90гр/шт 20см ?24мм 900гр в/у ХотДогБульдог Полоусов (КОД 59564) (-18°С);15х900гр;упак.;378
;;;;;
