№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
542;90739;Джем малина 900гр пл/в Руконт Россия (104109) (КОД 90739) (+18°С);6х900гр;шт;192,6
;;Raspberry jam, 900g*6, plastic, Rukont, Russia;;;
543;56511;Джем персик 320гр ст/б ГОСТ Прошу к столу!™ Россия (КОД 56511) (+18°С);12х320гр;шт;99,4
;;;;;
544;35590;Мед цветочный натуральный 1кг ведро ГОСТ Цветочная поляна Россия (2г) (КОД 35590) (+18°С);1кг;шт;179,96
;;;;;
545;49656;Мед цветочный натуральный порц. 20грх140/кор дип-пот ГОСТ Руконт Россия (КОР) (КОД 49656) (+18°С);140х20гр;кор;1 017,43
;;"Natural Honey, portion pack, 20gx140, plastic, ""Rukont"", Russia";;;
546;55550;Мед цветочный натуральный порц. 20грх192/кор дип-пот ГОСТ Медовые вечера Россия (КОД 55550) (+18°С);192х20гр;кор;1 269,05
;;;;;
;;Ингредиенты для кондитерской продукции /;;;
;;Гели, Глазури, Помадки от PURATOS /;;;
547;41004;Глазурь Абрикосовая Армони Бриант 12,5кг ведро Puratos® 4104620 Россия (КОД 41004) (+18°С);12,5кг;шт;3 480,10
;;"Apricot flavoured glaze ""Harmony Briant"", 12,5 kg, plastic bucket, Puratos, Russia";;;
548;35915;"Начинка термостабильная ""Фрутфил абрикос"",13 кг, пласт.\вед, Puratos, Россия (КОД 35915) (+18°С)";13кг;шт;2 450,02
;;;;;
;;Сиропы и концентраты /;;;
;;Сиропы Maison Routin 1883 /;;;
549;57436;Сироп Амаретто 1л ст/б Maison Routin 1883™ Франция (КОД 57436) (+18°С);6х1л;шт;925,86
;;;;;
550;57440;Сироп Ваниль 1л ст/б Maison Routin 1883™ Франция (КОД 57440) (+18°С);6х1л;шт;891,65
;;;;;
551;57369;Сироп Гренадин 1л ст/б Maison Routin 1883™ Франция (КОД 57369) (+18°С);6х1л;шт;847,07
;;;;;
552;57381;Сироп Зеленая мята 1л ст/б Maison Routin 1883™ Франция (КОД 57381) (+18°С);6х1л;шт;891,65
;;;;;
553;57433;Сироп Ирландский 1л ст/б Maison Routin 1883™ Франция (КОД 57433) (+18°С);6х1л;шт;891,65
;;;;;
554;57370;Сироп Карамель 1л ст/б Maison Routin 1883™ Франция (КОД 57370) (+18°С);6х1л;шт;891,65
;;;;;
555;57429;Сироп Кленовый 1л ст/б Maison Routin 1883™ Франция (КОД 57429) (+18°С);6х1л;шт;894,76
;;;;;
556;57374;Сироп Клубника 1л ст/б Maison Routin 1883™ Франция (КОД 57374) (+18°С);6х1л;шт;891,65
;;;;;
557;57356;Сироп Кокос 1л ст/б Maison Routin 1883™ Франция (КОД 57356) (+18°С);6х1л;шт;891,65
;;;;;
558;57376;Сироп Лесной орех 1л ст/б Maison Routin 1883™ Франция (КОД 57376) (+18°С);6х1л;шт;894,76
;;;;;
559;57357;Сироп Малина 1л ст/б Maison Routin 1883™ Франция (КОД 57357) (+18°С);6х1л;шт;977,71
;;;;;
560;57437;Сироп Манго 1л ст/б Maison Routin 1883™ Франция (КОД 57437) (+18°С);6х1л;шт;878,17
;;;;;
561;57358;Сироп Маракуйя 1л ст/б Maison Routin 1883™ Франция (КОД 57358) (+18°С);6х1л;шт;894,76
;;;;;
562;57359;Сироп Мохито 1л ст/б Maison Routin 1883™ Франция (КОД 57359) (+18°С);6х1л;шт;925,86
;;;;;
563;57434;Сироп Попкорн 1л ст/б Maison Routin 1883™ Франция (КОД 57434) (+18°С);6х1л;шт;946,6
;;;;;
564;57432;Сироп Соленая карамель 1л ст/б Maison Routin 1883™ Франция (КОД 57432) (+18°С);6х1л;шт;971,48
;;;;;
565;57382;Сироп Шоколад 1л ст/б Maison Routin 1883™ Франция (КОД 57382) (+18°С);6х1л;шт;894,76
;;;;;
;;Сиропы Proff Syrup /;;;
566;47418;Сироп Ананас 1л ст/б Proff Syrup™ Россия (КОД 47418) (+18°С);6х1л;шт;455
;;;;;
567;25098;Сироп Ваниль1л ст/б Proff Syrup™ Россия (КОД 25098) (+18°С);6х1л;шт;421,2
;;;;;
568;25099;Сироп Вишня 1л ст/б Proff Syrup™ Россия (КОД 25099) (+18°С);6х1л;шт;421,2
;;;;;
569;35504;Сироп Гренадин 1л ст/б Proff Syrup™ Россия (КОД 35504) (+18°С);6х1л;шт;421,2
;;;;;
570;25100;Сироп Груша 1л ст/б Proff Syrup™ Россия (КОД 25100) (+18°С);6х1л;шт;455
;;;;;
571;25102;Сироп Изабелла 1л ст/б Proff Syrup™ Россия КОД 25102) (+18°С);6х1л;шт;455
;;;;;
572;25104;Сироп Карамель 1л ст/б Proff Syrup™ Россия (КОД 25104) (+18°С);6х1л;шт;421,2
;;;;;
573;35505;Сироп Кленовый 1л ст/б Proff Syrup™ Россия (КОД 35505) (+18°С);6х1л;шт;421,2
;;;;;
574;25109;Сироп Клубника 1л ст/б Proff Syrup™ Россия (КОД 25109) (+18°С);6х1л;шт;421,2
;;;;;
575;35506;Сироп Лайм 1л ст/б Proff Syrup™ Россия (КОД 35506) (+18°С);6х1л;шт;421,2
;;;;;
576;40774;Сироп Лемонграс 1л ст/б Proff Syrup™ Россия (КОД 40774) (+18°С);6х1л;шт;455
;;;;;
577;25111;Сироп Лесной орех 1л ст/б Proff Syrup™ Россия (КОД 25111) (+18°С);6х1л;шт;421,2
;;;;;
578;25113;Сироп Малина 1л ст/б Proff Syrup™ Россия (КОД 25113) (+18°С);6х1л;шт;421,2
;;;;;
579;25117;Сироп Маракуйя 1л ст/б Proff Syrup™ Россия (КОД 25117) (+18°С);6х1л;шт;421,2
;;;;;
580;25118;Сироп Миндаль 1л ст/б Proff Syrup™ Россия (КОД 25118) (+18°С);6х1л;шт;455
;;;;;
581;25119;Сироп Мята 1л ст/б Proff Syrup™ Россия (КОД 25119) (+18°С);6*1л;шт;421,2
;;;;;
582;25123;Сироп Персик 1л ст/б Proff Syrup™ Россия (КОД 25123) (+18°С);6х1л;шт;455
;;;;;
583;35507;Сироп Смородина черная 1л ст/б Proff Syrup™ Россия (КОД 35507) (+18°С);6х1л;шт;421,2
;;;;;
584;47162;Сироп Тархун 1л ст/б Proff Syrup™  Россия (КОД 47162) (+18°С);6х1л;шт;455
;;;;;
585;35508;Сироп Шоколад 1л ст/б Proff Syrup™ Россия (КОД 35508) (+18°С);6х1л;шт;421,2
;;;;;
;;Сиропы и концентраты прочие /;;;
586;59779;Сироп Арбуз 1л ст/б Barinoff Syrup™ Россия (КОД 59779) (+18°С);6х1л;шт;321,95
;;;;;
587;60277;Сироп Блю Курасао 1л ст/б Barinoff Syrup™ Россия (КОД 60277) (+18°С);6х1л;шт;304,56
;;;;;
588;59728;Сироп Ваниль 1л ст/б Barinoff Syrup™ Россия (КОД 59728) (+18°С);6х1л;шт;321,95
;;;;;
589;59782;Сироп Вишня 1л ст/б Barinoff Syrup™ Россия (КОД 59782) (+18°С);6х1л;шт;321,95
;;;;;
590;59726;Сироп Гренадин 1л ст/б Barinoff Syrup™ Россия (КОД 59726) (+18°С);6х1л;шт;321,95
;;;;;
591;59729;Сироп Желтый банан 1л ст/б Barinoff Syrup™ Россия (КОД 59729) (+18°С);6х1л;шт;321,95
;;;;;
592;59730;Сироп Карамель 1л ст/б Barinoff Syrup™ Россия (КОД 59730) (+18°С);6х1л;шт;321,95
;;;;;
593;59731;Сироп Клубника 1л ст/б Barinoff Syrup™ Россия (КОД 59731) (+18°С);6х1л;шт;321,95
;;;;;
594;59732;Сироп Кокос 1л ст/б Barinoff Syrup™ Россия (КОД 59732) (+18°С);6х1л;шт;321,95
;;;;;
595;60010;Сироп Лайм 1л ст/б Barinoff Syrup™ Россия (КОД 60010) (+18°С);6х1л;шт;321,95
;;;;;
596;59721;Сироп Малина 1л ст/б Barinoff Syrup™ Россия (КОД 59721) (+18°С);6х1л;шт;321,95
;;;;;
597;59733;Сироп Маракуйя 1л ст/б Barinoff Syrup™ Россия (КОД 59733) (+18°С);6х1л;шт;321,95
;;;;;
598;60274;Сироп Мята 1л ст/б Barinoff Syrup™ Россия (КОД 60274) (+18°С);6х1л;шт;304,56
;;;;;
;;Топпинги /;;;
599;84719;Топпинг Банан 1кг пл/б Dolce Rosa™ Россия (КОД 84719) (+18°С);6х1кг;шт;278,64
;;;;;
600;45956;Топпинг Ваниль 1кг пл/б Dolce Rosa™ Россия (КОД 45956) (+18°С);6х1кг;шт;266,98
;;"Vanilla Topping, 1kg, plastic, ""Dolce Rosa"", Russia";;;
601;45954;Топпинг Вишня 1кг пл/б Dolce Rosa™ Россия (КОД 45954) (+18°С);6х1кг;шт;286,42
;;"Cherry Topping, 1kg, plastic, ""Dolce Rosa"", Russia";;;
602;51965;Топпинг Карамель 1кг пл/б Dolce Rosa™ Россия 24мес (КОД 51965) (+18°С);6х1кг;шт;286,42
;;;;;
603;48940;Топпинг Кленовый сироп 1кг пл/б  Dolce Rosa™ Россия (КОД 48940) (+18°С);6х1кг;шт;285,12
;;Topping, maple syrup, 1kg, Russia;;;
604;51967;Топпинг Клубника 1кг пл/б Dolce Rosa™ Россия 24мес (КОД 51967) (+18°С);6х1кг;шт;266,98
;;;;;
605;51970;Топпинг Лесные ягоды 1кг пл/б Dolce Rosa™ Россия 24мес (КОД 51970) (+18°С);6х1кг;шт;266,98
;;;;;
606;45955;Топпинг Малина 1кг пл/б Dolce Rosa™ Россия (КОД 45955) (+18°С);6х1кг;шт;286,42
;;"Raspberry Topping, 1kg, plastic, ""Dolce Rosa"", Russia";;;
607;51966;Топпинг Шоколад 1кг пл/б Dolce Rosa™ Россия 24мес (КОД 51966) (+18°С);6х1кг;шт;296,78
;;;;;
;;Фруктовое пюре FIL D'OR /;;;
608;55179;Пюре ананас без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6013) (КОД 55179) (-18°С);6х1кг;шт;601,85
;;;;;
609;55169;Пюре банан без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6002) (КОД 55169) (-18°С);6х1кг;шт;721,78
;;;;;
610;56312;Пюре вишня без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6020) (КОД 56312) (-18°С);6х1кг;шт;609,48
;;;;;
611;56315;Пюре ежевика без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6025) (КОД 56315) (-18°С);6х1кг;шт;609,48
;;;;;
612;56311;Пюре клубника без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6016) (КОД 56311) (-18°С);6х1кг;шт;596,66
;;;;;
613;55171;Пюре кокос без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6004) (КОД 55171) (-18°С);6х1кг;шт;686,26
;;;;;
614;55174;Пюре лайм без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6008) (КОД 55174) (-18°С);6х1кг;шт;722,75
;;;;;
615;56307;Пюре малина без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6019) (КОД 56307) (-18°С);6х1кг;шт;772,4
;;;;;
616;55168;Пюре манго без сахара 100% 1кг пл/конт FIL D'OR™ Вьетнам (FD6010) (КОД 55168) (-18°С);6х1кг;шт;522,6
;;;;;
;;Фруктовое пюре замороженное прочее /;;;
617;51910;Пюре клубника 90% 1кг пл/конт Фрутас Конгэладас Россия (50206) (КОД 51910) (-18°С);16х1кг;шт;388,8
;;;;;
618;53782;Пюре малина 90% 1кг пл/конт Agrobar™ Россия (КОД 53782) (-18°С);6х1кг;шт;648
;;;;;
619;59810;Пюре малина 92% 1кг пл/конт HQ pur?e™ Россия (КОД 59810) (-18°С);8х1кг;шт;583,2
;;;;;
620;45098;Пюре малина без сахара 100% 1кг пл/конт Ecoproduct™ Сербия (КОД 45098) (-18°С);8х1кг;шт;942
;;;;;
621;59813;Пюре манго 94% 1кг пл/конт HQ pur?e™ Россия (КОД 59813) (-18°С);8х1кг;шт;427,68
;;;;;
622;49078;Пюре манго без сахара 100% 1кг пл/конт Ecoproduct™ Индия (КОД 49078) (-18°С);8х1кг;шт;495,94
;;;;;
623;55225;Пюре маракуйя 91% 1кг пл/конт Agrobar™ Россия (КОД 55225) (-18°С);6х1кг;шт;812,59
;;;;;
624;59817;Пюре маракуйя 93% 1кг пл/конт HQ pur?e™ Россия (КОД 59817) (-18°С);8х1кг;шт;660,96
;;;;;
625;48356;Пюре маракуйя c косточками без сахара 100% 1кг пл/конт Ecoproduct™ Вьетнам (КОД 48356) (-18°С);12х1кг;шт;803,52
;;;;;
626;45097;Пюре маракуйя без сахара 100% 1кг пл/конт Ecoproduct™ Вьетнам (КОД 45097) (-18°С);12х1кг;шт;803,52
;;;;;
627;59281;Пюре папайя красная 90% 1кг пл/конт Agrobar™ Россия (КОД 59281) (-18°С);1кг;шт;742
;;;;;
;;"Фруктовое пюре и кули ""Boiron"" /";;;
628;40554;Пюре банан без сахара 95,9% 1кг/пл конт Boiron™ Франция (арт. 534) (КОД 40554) (-18°С);6*1кг;кг;953,2
;;Banana puree, frozen, 1kg,  Boiron, France;;;
629;12271;Пюре кокос 88% 1кг пл/конт Boiron™ Франция (571/AC01C6) (КОД 12271) (-18°С);6х1кг;кг;1 416,70
;;Coconut puree, frozen, 1kg, Boiron, France;;;
630;12275;Пюре маракуйя без сахара 100% 1кг пл/конт Boiron™ Франция (720/АРА0С6) (КОД 12275) (-18°С);6х1кг;кг;1 221,29
;;;;;
631;90984;Пюре с имбирем 1кг пл/конт Boiron™ Франция (арт.769) (КОД 90984) (-18°С);3х1кг;кг;1 906,39
;;Ginger puree, frozen, 1kg, Boiron, France;;;
632;53035;Пюре слива Мирабель100% 1кг пл/конт Boiron™ Франция (AMI0B0AA0) (КОД 53035) (-18°С);3х1кг;шт;1 659,07
;;;;;
633;48062;Пюре черная смородина без сахара 100% 1кг пл/конт Boiron™ Франция (арт. ACAOC6) (КОД 48062) (-18°С);6х1кг;шт;831,8
;;;;;
;;Кондитерские и хлебопекарные смеси /;;;
634;59794;Смесь панировочная для котлет 2,1кг пл/в Bravolli Professional™ ТД Ярмарка Россия (КОД 59794) (+18°С);4х2,1кг;шт;1 988,95
;;;;;
635;59793;Смесь панировочная универсальная 1кг мешок Bravolli Professional™ ТД Ярмарка Россия (КОД 59793) (+18°С);6х1кг;шт;350
;;;;;
636;59792;Смесь панировочная хрустящая 2,1кг пл/в Bravolli Professional™ ТД Ярмарка Россия (КОД 59792) (+18°С);4х2,1кг;шт;1 050,63
;;;;;
;;Печенье /;;;
637;56876;Вафельные трубочки ореховые 190 гр Яшкино™ Россия (КОД 56876) (+18°С);24х190гр;шт;78,52
;;;;;
;;Прочие кондитерские товары /;;;
638;54579;"Батончик с цельными злаками ""Биокей"" клубника 25гр х18шт/упак Алтай (КОД 54579) (+18°С)";450гр х8уп;упак.;504,5
;;;;;
639;54583;"Батончик с цельными злаками ""Биокей"" кокос 25гр х18шт/упак Алтай (КОД 54583) (+18°С)";450гр х8уп;упак.;504,5
