;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист для партнера ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист;;;;;;;;;;;;;;;;;;;;;;;;;
4 сентября 2023 г.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Наименование товаров;Цена за ед.;;Кол-во в упаковке;Страна / Производитель;"Количество на 
складах";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
01. МЯСО, ПТИЦА И МЯСНАЯ ГАСТРОНОМИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
01.1 Мясная гастрономия;;;;;;;;;;;;;;;;;;;;;;;;;
"01.1.03 Мясные изедлия  ""Златиборац""";;;;;;;;;;;;;;;;;;;;;;;;;
"			Крыло куриное  2-фаланги ""Луневский"" П/Ф из мяса птицы(замороженные)- ( ~2,500 кг.) упак.~ 10 кг";393,79;кг;5;РОССИЯ;89,12;;;;;;;;;;;;;;;;;;;;
"			Крыло куриное (2 фаланги) ""Имперское"" с/м (2,500 кг) упак. 8 шт.";360,04;кг;1;"ООО ""Кура-Ру"" (Россия)";70;;;;;;;;;;;;;;;;;;;;
			Наггетсы «Классические»»  из мяса птицы п/ф уп.(1*1,115) 15 шт.( 16,725 кг. ) Каргилл;364,61;кг;16,725;;284,325;;;;;;;;;;;;;;;;;;;;
"			Наггетсы куриные Традиционные ""Мираторг"" (1,500 кг) упак. 6 шт.";391,88;шт;1;"ООО ""ТК ""Мираторг""";98;;;;;;;;;;;;;;;;;;;;
"			Стрипсы ""Оригинальные"" панирован запеченные флоупак г/я зам ""Серволюкс (  2,000 кг) упак.6 шт";750,28;шт;6;ЮНИМИТ Филиал СБ;6;;;;;;;;;;;;;;;;;;;;
"			Тушка Цыпленок ЦБ ""Наша Птичка"" с/м фирм. пак. (~ 1,400 кг) упак. ~ 14 кг";262,98;кг;14;;72,8;;;;;;;;;;;;;;;;;;;;
"			Тушка Цыпленок ЦБ ""Наша Птичка"" с/м фирм. пак. (~ 1,500 кг) упак. ~ 13,5 кг";262,98;кг;1;Ресурс-Юг;55,551;;;;;;;;;;;;;;;;;;;;
			Филе бедра ЦБ (лоток) с/м  (~0,800 кг) упак ~ 8 кг Россия;334,6;кг;1;;10,854;;;;;;;;;;;;;;;;;;;;
"			Филе бедра цыпленка  ""Луневский"" П/Ф из мяса птицы(замороженные)-( ~2,500 кг.) упак.~ 10 кг";424,98;кг;10;"ООО""МПК""Луневский""";224;;;;;;;;;;;;;;;;;;;;
"			Филе бедра цыпленка б/к с/м весовое № 293 (т.м. Дарптица) ""Кура-Ру"" ( 2,500 кг.) упак.~ 20 кг";448,84;кг;20;РОССИЯ;342,5;;;;;;;;;;;;;;;;;;;;
"			Филе грудки  куриное ""Луневский"" П/Ф из мяса птицы(зам) ( ~2,500 кг.) упак.~ 10 кг";376,08;кг;10;;3,01;;;;;;;;;;;;;;;;;;;;
			Филе грудки кур./Чамзинка/инд.вес  лоток ( ~0,800 кг) упак.~8 кг;461,44;кг;8;Чамзинка;16,397;;;;;;;;;;;;;;;;;;;;
"			Филе грудки ЦБ ""Дарптица"" Имперское ""Кура-Ру"" (2,500 кг) упак. 8 шт. (203)";467,54;кг;20;"РОССИЯ/ООО ""Кура-Ру"" (Россия)";205;;;;;;;;;;;;;;;;;;;;
			Филе грудки цыпленка -бройлера с/м лоток ( ~ 0,800 кг) упак.10 шт. Домоседка;414,94;кг;8;Богородские Деликатесы;68,591;;;;;;;;;;;;;;;;;;;;
"			Филе грудки Цыпленок (бройлер)""Экобелпродукт"" с/м (2,500 кг) упак. 4 шт.";1 110,1;шт;4;"ООО ""Экобелпродукт""";106;;;;;;;;;;;;;;;;;;;;
			Цыпленок корнишон тушка белый замороженный ( ~0,400 кг) упак.~10 кг;447,1;кг;10;"ООО ""ТД ""ИМПЕРИЯ""";30,479;;;;;;;;;;;;;;;;;;;;
"			Цыпленок тушка ЦБ 1 сорт ""Приосколье"" с/м ( ~ 1,300 ~1.600 кг) упак. ~ 13 кг";262,98;кг;14,4;;70,834;;;;;;;;;;;;;;;;;;;;
"			Цыпленок ЦБ ГОСТ ""Байсад""(1,600 кг) упак.16 кг";250,08;кг;16;"ЗАО ""Байсад"" (Россия)";83,2;;;;;;;;;;;;;;;;;;;;
			Цыпленок-корнишон кукурузного откорма  желтый с/м (0,400 кг) упак. 20 шт.;228,15;шт;20;"РОССИЯ/ООО ""Экоптица""";65;;;;;;;;;;;;;;;;;;;;
			Цыпленок-корнишон кукурузного откорма  желтый с/м (0,500 кг) упак. 20 шт.;267,68;шт;20;"РОССИЯ/ООО ""Экоптица""";137;;;;;;;;;;;;;;;;;;;;
			Цыпленок-корнишон кукурузного откорма  желтый с/м (0,600 кг) упак. 16 шт.;299,51;шт;16;"РОССИЯ/ООО ""Экоптица""";70;;;;;;;;;;;;;;;;;;;;
"			Шаурма из мяса птицы (замороженные п/ф)   ""Луневский"" -( ~3,500 кг.) упак.~ 12 кг";462,54;кг;12;"ООО""МПК""Луневский""";12,44;;;;;;;;;;;;;;;;;;;;
ЦЫПЛЯТА, КУРЫ И СУБПРОДУКТЫ ОХЛАЖДЕННЫЕ:;;;;;;;;;;;;;;;;;;;;;;;;;
ЯЙЦА;;;;;;;;;;;;;;;;;;;;;;;;;
				Яйцо С-1 кор. 360 шт;8,22;шт;1;;9 120;;;;;;;;;;;;;;;;;;;;
"01.1.5 Мясные изделия из дичи ""Мясные деликатесы""";;;;;;;;;;;;;;;;;;;;;;;;;
02. Сыры и молочные продукты, растительные сливки;;;;;;;;;;;;;;;;;;;;;;;;;
02.1 Сыры;;;;;;;;;;;;;;;;;;;;;;;;;
СЫРЫ “ЛеСуперб” (ФРАНКИ);;;;;;;;;;;;;;;;;;;;;;;;;
			Колпак для ножей для нарезки сыра Тет де Муан “Lustenberger”;776,34;шт;1;Lustenberger und Durst AG;2;;;;;;;;;;;;;;;;;;;;
СЫРЫ “ЛеСуперб”(ЕВРО);;;;;;;;;;;;;;;;;;;;;;;;;
"			Сыр Swisshard ""ЛеСуперб"" (0,200 кг) упак. 12 шт.";578,31;шт;12;ШВЕЙЦАРИЯ/LeSuperbe Servicec AG;5;;;;;;;;;;;;;;;;;;;;
"			Сыр Swisshard ""ЛеСуперб"" 1/8 формы (~5,200 кг) упак. 2шт";2 392,15;кг;10,4;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;51,209;;;;;;;;;;;;;;;;;;;;
"			Сыр Альпийская корова ""ЛеСуперб"" (0,150 кг) упак. 12 шт.";390,32;шт;12;LeSuperbe Servicec AG;7;;;;;;;;;;;;;;;;;;;;
"			Сыр Гран Морис ""ЛеСуперб"" (0,150 кг) упак. 12шт.";446,29;шт;12;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;79;;;;;;;;;;;;;;;;;;;;
"			Сыр Диаболо-Гурме ""ЛеСуперб"" (0,200 кг) упак. 12 шт.";655,8;шт;12;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;11;;;;;;;;;;;;;;;;;;;;
"			Сыр Жура Монтань ""ЛеСуперб"" (0,200 кг) упак. 8 шт.";678,76;шт;8;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;8;;;;;;;;;;;;;;;;;;;;
"			Сыр Сан-Кристоф ""ЛеСуперб"" (0,200 кг) упак. 12 шт.";584,05;шт;12;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;9;;;;;;;;;;;;;;;;;;;;
"			Сыр Сбринц ""ЛеСуперб"" (0,195 кг) упак. 12 шт.";740,46;шт;12;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;7;;;;;;;;;;;;;;;;;;;;
"			Сыр Сбринц ""ЛеСуперб"" 1/16 формы (~ 1,400 кг) упак. 5 шт.";3 752,53;кг;6,5;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;6,45;;;;;;;;;;;;;;;;;;;;
"			Сыр Тет де Муан  ""ЛеСуперб"" (~1,000 кг) упак. 4шт.";3 766,88;кг;3,6;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;0,908;;;;;;;;;;;;;;;;;;;;
"			Сыр Тет де Муан ""ЛеСуперб"" (0,080 кг) упак. 7 шт.";548,17;шт;7;ШВЕЙЦАРИЯ/LeSuperbe Servicec AG;2;;;;;;;;;;;;;;;;;;;;
"			Сыр Фьор делле Альпи ""ЛеСуперб"" (0,200 кг) упак. 8 шт.";667,28;шт;8;LeSuperb Servicec AG;14;;;;;;;;;;;;;;;;;;;;
"			Сыр Чеддер ""ЛеСуперб"" (~ 1,600 кг) упак. 4 шт.";1 934,38;кг;6,4;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;2,06;;;;;;;;;;;;;;;;;;;;
"			Сыр Чеддер ""ЛеСуперб"" (0,200 кг) упак. 12 шт.";462,07;шт;12;LeSuperb Servicec AG;7;;;;;;;;;;;;;;;;;;;;
"			Сыр Швейцарский ""ЛеСуперб"" (0,180 кг) упак.12 шт.";367,36;шт;12;ШВЕЙЦАРИЯ/LeSuperb Servicec AG;6;;;;;;;;;;;;;;;;;;;;
СЫРЫ ДРУГИХ ПРОИЗВОДИТЕЛЕЙ;;;;;;;;;;;;;;;;;;;;;;;;;
"СЫРЫ ""НТЦ-XXI"":";;;;;;;;;;;;;;;;;;;;;;;;;
				Сыр Моцарелла Ностра  (~1,400 кг) упак.6 шт;504,04;кг;1;"ООО ""НТЦ-XXI""";42,66;;;;;;;;;;;;;;;;;;;;
СЫРЫ ПРОИЗВОДСТВА БЕЛАРУСЬ;;;;;;;;;;;;;;;;;;;;;;;;;
"				Сыр РОКФОРТИ ""Молодея"" с голубой плесенью 55% (круг ~ 2,5кг) упак. 1 шт.";1 140;кг;2,6;"Нарочанский ф-л ОАО ""Молодечненский МК"" ";11,217;;;;;;;;;;;;;;;;;;;;
"				Сыр Чеддер красный ""Cheddar Red"" брус ( ~4,000 кг) упак 5 шт Беларусь";616,98;кг;20;"БЕЛАРУСЬ/ОАО ""Поставский молочный завод"" ";48,28;;;;;;;;;;;;;;;;;;;;
"			Молокосодержащий продукт полутвердый Моцарелла ""Benevento"" 48% батон (~ 2,000 кг) упак. ~ 16 кг";429,64;кг;16;"ООО ""Лактомилк"" (Россия)";753,05;;;;;;;;;;;;;;;;;;;;
"			Молсодержпр.с змж.Моцарелла"" Original Alti тертый NEW(1,000 кг)уп10 шт";442,01;шт;10;;5;;;;;;;;;;;;;;;;;;;;
			Молсодержпр.сзмж.Моцар. Original Alti тертыйNEW(1,000 кг)уп10 шт( 410112) (ОТГРУЗКА КОРОБАМИ) ГРАБЛИ;434,51;шт;10;"РОССИЯ/ООО ""МИЛКПРО"" (Россия)";215;;;;;;;;;;;;;;;;;;;;
			Сиртаки для греческого салата Original (0,330 кг) упак. 15-27 шт.;143,17;шт;15;"ОАО ""Северное Молоко"" (Россия)";83;;;;;;;;;;;;;;;;;;;;
			Сиртаки для греческого салата Original (0,500 кг) упак. 12 шт;202,21;шт;12;"ЕГИПЕТ/АРАБИАН ФУД ИНДАСТРИАЗ ""ДОМТИ""";6;;;;;;;;;;;;;;;;;;;;
