;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
СИ-00002197;Утка грудка филе в/у ~1 кг с/м, ИП ГК(Ф)Х Ткаченко И.И., Россия;;Россия;714;РУБ;кор (10 кг);кг
;Окорок;;;;;;
СП-00001413;Утка окорочок подложка с/м, Утиные фермы, Россия;;Россия;520;РУБ;кор (12 кг);кг
СП-00001029;Утка окорочок Халяль подложка с/м, 2480, Озерка, Россия;;Россия;509;РУБ;кор (12 кг)  кор (7 кг);кг
;Индейка;;;;;;
УТ-00017420;Индейка бедро филе в/у с/м, Новые Фермы, Россия;;Россия;485;РУБ;кор (12 кг);кг
УТ-00015428;Индейка бедро филе монолит с/м, 1080204319, Тамбовская индейка, Россия;;Россия;469;РУБ;кор (12 кг);кг
УТ-00017547;Индейка бедро филе монолит с/м, Новые Фермы, Россия;;Россия;476;РУБ;кор (12 кг);кг
УТ-00006994;Индейка бедро филе монолит с/м, ОАО Агрокомбинат «Дзержинский», Россия;;Россия;470;РУБ;кор (13 кг);кг
УТ-00021271;Индейка грудка филе большое в/у с/м, ПАВА-ПАВА, Россия;;Россия;520;РУБ;кор (4 кг);кг
;;;;;;;
;Рыба, креветки, морепродукты;;;;;;
;Креветки;;;;;;
;Креветки тигровые в панцире без головы;;;;;;
УТ-00020524;Креветки тигровые б/г 13/15 930 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 490;РУБ;кор (10 шт);шт
УТ-00020525;Креветки тигровые б/г 16/20 930 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 524;РУБ;кор (10 шт);шт
