;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
УТ-00001304;Томаты в с/с целые очищенные 2650 мл/2500 г, DELCOFF, Италия;;Италия;466;РУБ;кор (6 шт);шт
УТ-00019466;Томаты сушеные в масле 314 мл/290 г ст/б, AnnaBella, Италия;;Италия;328;РУБ;кор (12 шт);шт
УТ-00017510;Томаты сушеные в масле ст/б 1700 мл, Oliveto, Россия;;Россия;1 087;РУБ;кор (12 шт);шт
СИ-00001299;Томаты черри маринованные 700 г 8 шт/кор, Юнона, Россия;;Россия;92;РУБ;кор (8 шт);шт
УТ-00007026;ФАСОЛЬ белая в с/с 420г, Юнона, Россия;;Россия;71;РУБ;кор (12 шт);шт
СП-00000017;ФАСОЛЬ белая в с/с 425 мл, Кормилица, Россия;;Россия;58;РУБ;;шт
СИ-00001678;Фасоль красная в с/с 420 г, Юнона, Россия;;Россия;68;РУБ;кор (12 шт);шт
СИ-00002086;ФАСОЛЬ красная в с/с ж/б 3100 мл/2950 г. Кормилица. Россия;;Россия;346;РУБ;кор (4 шт);шт
СИ-00002237;Фасоль красная в т/с 360 г., Юнона, Россия;;Россия;70;РУБ;кор (12 шт);шт
;Соления;;;;;;
УТ-00004787;МОРКОВЬ по-корейски 2,5 кг, Россия;;Россия;383;РУБ;;шт
;Рыбные консервы;;;;;;
УТ-00021246;Анчоусы филе в масле 700 г/385 г ж/б, Mari del Sud, Италия;;Италия;2 059;РУБ;кор (12 шт);шт
СИ-00002632;Анчоусы филе в масле 700 г/400 г ст/б, Delicius, Италия;;Италия;2 096;РУБ;кор (6 шт);шт
УТ-00008871;САЙРА в с/с ж/б 240 г, Ультрамарин, Россия;;Россия;199;РУБ;кор (24 шт)  кор (48 шт);шт
СИ-00001100;САЙРА натуральная 250 г ж/б, КитБай, Россия;;Россия;199;РУБ;кор (24 шт);шт
СИ-00000230;САРДИНА натуральная в масле 250 г ж/б ГОСТ, КитБай, Россия;;Россия;110;РУБ;кор (48 шт);шт
УТ-00021220;Тунец кусочки в с/с 1,7 кг ж/б, Tin Thinh, Вьетнам;;Вьетнам;1 121;РУБ;кор (6 шт);шт
УТ-00020918;Тунец филе в с/с 1 кг пауч, Магуро, Эквадор;;Эквадор;822;РУБ;кор (16 шт);шт
СИ-00002122;Тунец филе в с/с ж/б 185 г (ключ), КитБай, Россия, Россия;;Россия;129;РУБ;кор (24 шт);шт
УТ-00017930;Шпроты в масле с ключом ж/б 240 г, Морская держава, Россия;;Россия;104;РУБ;кор (48 шт);шт
;Фруктовая консервация;;;;;;
УТ-00001533;Абрикосы в сиропе половинки 2650 мл/2500 г, SunFeel, Китай;;Китай;578;РУБ;кор (6 шт);шт
СИ-00000424;АНАНАСЫ в сиропе кольцами 3100 мл/3035 г, LORADO, Таиланд;;Таиланд;770;РУБ;кор (6 шт);шт
УТ-00008627;АНАНАСЫ в сиропе кольцами 3100 мл/3050/3000 г, SunFeel, Тайланд/Вьетнам;;Тайланд/Вьетнам;623;РУБ;кор (6 шт);шт
СИ-00002574;АНАНАСЫ в сиропе кольцами 850 мл/830 г, SunFeel, Вьетнам;;Вьетнам;196;РУБ;кор (12 шт);шт
УТ-00012117;АНАНАСЫ в сиропе кольцами 850 мл/850 г, SunFeel, Тайланд/Вьетнам;;Тайланд/Вьетнам;197;РУБ;кор (12 шт);шт
СИ-00000445;АНАНАСЫ в сиропе кусочки 3100 мл/3050 г, LORADO, Таиланд;;Таиланд;765;РУБ;кор (6 шт);шт
УТ-00008557;АНАНАСЫ в сиропе кусочки 3100 мл/3050 г, SunFeel, Тайланд/Вьетнам;;Тайланд/Вьетнам;601;РУБ;кор (6 шт);шт
СИ-00001947;АНАНАСЫ в сиропе кусочки 580 мл, FERRAGOSTO, Тайланд;;Тайланд;103;РУБ;кор (12 шт);шт
УТ-00017950;Вишня коктейльная красная с веточкой 314 мл / 255 г, Микадо, Китай;;Китай;251;РУБ;кор (12 шт);шт
УТ-00001031;Вишня коктейльная Мараскино красная с веточкой 720 мл / 680 г, DELCOFF, Китай;;Китай;378;РУБ;кор (12 шт);шт
УТ-00021130;Груши в сиропе половинки 3100 мл/3000 г ж/б, Lutik, Китай;;Китай;660;РУБ;кор (6 шт);шт
СИ-00000447;Груши в сиропе половинки 850 мл/820 г, LORADO, Китай;;Китай;175;РУБ;кор (12 шт);шт
СП-00000461;МАНГО дольки в сиропе 425 мл/425 г, SunFeel, Тайланд;;Тайланд;125;РУБ;кор (24 шт);шт
УТ-00016089;Мандарины дольками в сиропе 314 мл/312 г, Lutik, Китай;;Китай;92;РУБ;кор (12 шт);шт
УТ-00004740;ПЕРСИКИ в сиропе половинки 3100 мл, Кормилица, Китай;;Китай;692;РУБ;кор (6 шт);шт
СИ-00000425;ПЕРСИКИ в сиропе половинки 3100 мл/3000 г, LORADO, Китай;;Китай;785;РУБ;кор (6 шт);шт
УТ-00005950;ПЕРСИКИ в сиропе половинки 3100 мл/3000 г, SunFeel, Китай;;Китай;770;РУБ;кор (6 шт);шт
СИ-00002569;Персики в сиропе половинки 850 мл/820 г ж/б, ISKA, Россия;;Россия;188;РУБ;кор (12 шт);шт
УТ-00001015;ПЕРСИКИ в сиропе половинки 850 мл/820 г, DELCOFF/Global Village, Греция/Китай;;Греция/Китай;183;РУБ;кор (12 шт);шт
;;;;;;;
;Свежемороженые овощи, ягоды, грибы;;;;;;
;Овощи и зелень свежемороженые;;;;;;
;Овощи, Зелень;;;;;;
УТ-00017898;Бобы соевые зеленые Эдамаме очищенные пакет 1 кг с/м, YAKIMAL, Россия;;Россия;470;РУБ;кор (10 шт);шт
СИ-00002225;"Бургер овощной "" Техасский "" 1 кг с/м, Bonduelle, Франция";;Франция;651;РУБ;кор (6 кг);шт
УТ-00001565;ГОРОШЕК зеленый 1 кг с/м, Россия;;Россия;162;РУБ;кор (10 шт);шт
УТ-00002944;ГОРОШЕК зеленый 10 кг с/м, Россия;;Россия;1 090;РУБ;кор (1 шт);шт
УТ-00002424;ГОРОШЕК зеленый 10 кг с/м, Триада-Покоторг, Россия;;Россия;1 411;РУБ;кор (1 шт);шт
УТ-00016793;КАПУСТА брокколи 1 кг с/м, RICO, Россия;;Россия;198;РУБ;кор (10 шт);шт
УТ-00013551;КАПУСТА брокколи 10 кг с/м, Китай;;Китай;1 574;РУБ;кор (1 шт);шт
УТ-00007001;Капуста брюссельская 10 кг с/м, Китай, импортер Беларусь;;Китай, импортер Беларусь;2 145;РУБ;кор (1 шт);шт
УТ-00014595;Капуста цветная 10 кг с/м, Египет;;Египет;1 462;РУБ;кор (1 шт);шт
УТ-00012270;КАПУСТА цветная 10 кг с/м, Узбекистан;;Узбекистан;1 327;РУБ;кор (1 шт);шт
УТ-00016796;Капуста цветная пакет 1 кг с/м, RICO, Россия;;Россия;150;РУБ;кор (10 шт);шт
УТ-00003835;Кукуруза в початках 12 кг с/м, Индия;;Индия;1 753;РУБ;кор (1 шт);шт
УТ-00003836;Кукуруза в початках десертная 500 г (2 початка/уп), Часар, Россия;;Россия;120;РУБ;кор (16 шт);шт
УТ-00012262;КУКУРУЗА зерно с/м 10 кг, Индия;;Индия;1 516;РУБ;кор (1 шт);шт
УТ-00018013;Морковь кружок рифленый 10 кг с/м, Республика Беларусь;;Республика Беларусь;687;РУБ;кор (1 шт);шт
УТ-00004518;МОРКОВЬ кружок рифленый 10 кг с/м, Россия;;Россия;770;РУБ;кор (1 шт);шт
УТ-00020173;Морковь мини 10 кг с/м, Китай, импортер Беларусь;;Китай, импортер Беларусь;2 422;РУБ;кор (1 шт);шт
УТ-00020243;Морковь мини 10 кг с/м, Турция;;Турция;2 164;РУБ;кор (1 шт);шт
УТ-00003091;ПЕРЕЦ болгарский полоски mix 10 кг с/м, Россия;;Россия;1 497;РУБ;кор (1 шт);шт
УТ-00004114;Спаржа с/м 1 кг, ARDO, Китай;;Китай;808;РУБ;кор (10 шт);шт
УТ-00017322;Фасоль зеленая экстра-тонкая целая 2,5 кг с/м, 148386, Bonduelle, Россия;;Россия;574;РУБ;кор (4 шт);шт
УТ-00002245;Фасоль стручковая зеленая (резаная) 1 кг с/м, Россия;;Россия;134;РУБ;кор (10 шт);шт
УТ-00002471;Фасоль стручковая зеленая (резаная) 10 кг с/м, Россия;;Россия;1 145;РУБ;кор (1 шт);шт
УТ-00019792;Фасоль стручковая зеленая (целая) 8 кг с/м, Россия;;Россия;1 152;РУБ;кор (1 шт);шт
УТ-00020934;Шпинат листья 1 кг с/м, Россия;;Россия;198;РУБ;;шт
УТ-00002259;ШПИНАТ порционный рубленый 1 кг с/м, Россия;;Россия;216;РУБ;кор (10 шт);шт
;Овощные смеси;;;;;;
УТ-00007005;СМЕСЬ овощи весенние 10 кг с/м, Россия;;Россия;1 008;РУБ;кор (1 шт);шт
УТ-00005685;СМЕСЬ овощная европейская 10 кг с/м, Россия;;Россия;1 053;РУБ;кор (1 шт);шт
УТ-00004513;Смесь овощная мексиканская 10 кг с/м, Россия;;Россия;991;РУБ;кор (1 шт);шт
;Ягоды и фрукты свежемороженые;;;;;;
УТ-00014489;Брусника 10 кг с/м, Россия;;Россия;3 170;РУБ;кор (1 шт);шт
УТ-00003210;Вишня б/к 1 кг с/м, Россия;;Россия;277;РУБ;кор (10 шт);шт
СП-00002376;Вишня б/к 10 кг с/м, Республика Узбекистан;;Республика Узбекистан;2 339;РУБ;кор (1 шт);шт
УТ-00004727;Клубника 10 кг с/м, Египет;;Египет;1 271;РУБ;кор (1 шт);шт
УТ-00002963;КЛЮКВА дикорос (эл. очистка) 10 кг с/м, Россия;;Россия;5 322;РУБ;кор (1 шт);шт
УТ-00002962;КЛЮКВА садовая 10 кг с/м, Китай, импортер Беларусь;;Китай, импортер Беларусь;3 619;РУБ;кор (1 шт);шт
УТ-00014651;МАЛИНА с/м 10 кг «Экстра», Республика Беларусь;;Республика Беларусь;3 516;РУБ;кор (1 шт);шт
УТ-00013027;Манго кубик 10*10 10 кг с/м, Индия;;Индия;2 638;РУБ;кор (1 шт);шт
УТ-00002023;Облепиха с/м 10 кг, Китай;;Китай;2 113;РУБ;кор (1 шт);шт
УТ-00003522;Смесь для компота 10 кг с/м, Россия;;Россия;992;РУБ;кор (1 шт);шт
СП-00000292;СМЕСЬ для компота 10 кг/шт с/м (В), Россия;;Россия;1 133;РУБ;;шт
УТ-00019580;Смородина красная 10 кг с/м, Китай, импортер Беларусь;;Китай, импортер Беларусь;1 469;РУБ;кор (1 шт);шт
СП-00000268;Смородина черная 10 кг с/м, Н, Китай, импортер Беларусь;;Китай, импортер Беларусь;2 564;РУБ;кор (1 шт);шт
УТ-00010511;ЧЕРНИКА дикорос 10 кг с/м, Россия;;Россия;2 462;РУБ;кор (1 шт);шт
;Грибы;;;;;;
УТ-00002517;ГРИБЫ белые резаные (кубик) 10 кг с/м, Россия;;Россия;4 666;РУБ;;шт
УТ-00006110;ГРИБЫ белые целые 1 сорт 3 кг с/м, Россия;;Россия;2 022;РУБ;кор (1 шт);шт
УТ-00003772;ГРИБЫ опята (намеко) глазирован. 10 кг с/м, Китай;;Китай;2 512;РУБ;кор (1 шт);шт
УТ-00012992;Грибы шампиньоны резаные с/м 10 кг, Беларусь;;Беларусь;988;РУБ;кор (1 шт);шт
УТ-00013770;Грибы шампиньоны резаные с/м 10 кг, Россия;;Россия;1 121;РУБ;кор (1 шт);шт
;Фруктовые пюре замороженные;;;;;;
УТ-00012549;Пюре ананаса б/с 1 кг, 11021003, Capfruit, Франция;;Франция;1 118;РУБ;кор (2 шт);шт
УТ-00012550;Пюре банана б/с 1 кг, 11031003, Capfruit, Франция;;Франция;797;РУБ;кор (2 шт);шт
УТ-00013721;Пюре ежевики б/с 1 кг, 11261003, Capfruit, Франция;;Франция;1 200;РУБ;кор (2 шт);шт
УТ-00012570;Пюре земляники 1 кг, 11421003, Capfruit, Франция;;Франция;1 181;РУБ;кор (2 шт);шт
УТ-00012558;Пюре киви б/с 1 кг, 11191003, Capfruit, Франция;;Франция;758;РУБ;кор (2 шт);шт
УТ-00012554;Пюре клубники 1 кг, 11111003, Capfruit, Франция;;Франция;758;РУБ;кор (2 шт);шт
УТ-00012573;Пюре кокоса б/с 1 кг, 16581003, Capfruit, Франция;;Франция;1 491;РУБ;кор (2 шт);шт
УТ-00012553;Пюре лайма б/с 1 кг, 11091003, Capfruit, Франция;;Франция;861;РУБ;кор (2 шт);шт
УТ-00012552;Пюре лимона б/с 1 кг, 11071003, Capfruit, Франция;;Франция;953;РУБ;кор (2 шт);шт
УТ-00012556;Пюре малины б/с 1 кг, 11131003, Capfruit, Франция;;Франция;1 653;РУБ;кор (2 шт);шт
УТ-00012572;Пюре манго Альфонсо б/с 1 кг, 16001003, Capfruit, Франция;;Франция;884;РУБ;кор (2 шт);шт
УТ-00012564;Пюре маракуйи б/с 1 кг, 11321003, Capfruit, Франция;;Франция;868;РУБ;кор (2 шт);шт
УТ-00017370;Пюре облепихи б/с 1 кг, 16321077, Capfruit, Франция;;Франция;1 370;РУБ;кор (2 шт);шт
УТ-00012551;Пюре черной смородины б/с 1 кг, 11061003, Capfruit, Франция;;Франция;946;РУБ;кор (2 шт);шт
;;;;;;;
;Мороженое и десерты;;;;;;
;Торты замороженные;;;;;;
СИ-00002535;Птифур Медовый (30 порц) 1,2 кг., CREDO, Россия;;Россия;771;РУБ;кор (3 шт);шт
СИ-00002537;Птифур Шоколадный с маршмеллоу (30 порц) 1,2 кг, CREDO, Россия;;Россия;916;РУБ;кор (3 шт);шт
УТ-00013130;"Торт ""Красный Бархат"" фас. 1440 г (120 г*12 шт/уп*4 шт/кор) с/м, 215, Frozen Cake (Bono), Россия";;Россия;991;РУБ;кор (4 шт);шт
СИ-00002555;ТОРТ Йогуртовый с клубникой 1,2 кг*12 порц Credo, Россия;;Россия;854;РУБ;кор (3 шт);шт
СИ-00002554;ТОРТ Медовый 1,2 кг*12 порц Credo, Россия;;Россия;790;РУБ;кор (3 шт);шт
СИ-00002557;ТОРТ Сметанный с ягодами 1,2 кг*12 порц Credo, Россия;;Россия;811;РУБ;кор (3 шт);шт
СИ-00002553;ТОРТ Тирамису 1,2 кг*12 порц Credo, Россия;;Россия;855;РУБ;кор (3 шт);шт
СИ-00002536;ТОРТ Шоколадный Мусс 1,2 кг*12 порц Credo с/м, Россия;;Россия;748;РУБ;кор (3 шт);шт
СИ-00002556;ТОРТ Шоколадный с маршмеллоу 1,2 кг*12 порц Credo, Россия;;Россия;924;РУБ;кор (3 шт);шт
;Мороженое;;;;;;
КР-00000012;Мороженое молочное ванильное 5% 2,5 кг*2 шт, 10043, CREDO, Россия;;Россия;635;РУБ;кор (2 шт);шт
КР-00000023;Мороженое ПЛОМБИР ванильный 2,5 кг, 10044, CREDO, Россия;;Россия;1 018;РУБ;кор (2 шт);шт
СИ-00002423;Мороженое сливочное с КЛУБНИКОЙ 2,5 кг*2 шт. CREDO, Россия;;Россия;1 026;РУБ;кор (2 шт);шт
СИ-00002424;Мороженое сливочное ШОКОЛАДНОЕ с шоколадной крошкой 2,5 кг*2 шт. CREDO, Россия;;Россия;1 001;РУБ;кор (2 шт);шт
;Сиропы, топпинги;;;;;;
УТ-00018831;Сироп Classic Амаретто пл/б 1 л, 20567450, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;340;РУБ;кор (6 шт);шт
УТ-00018836;Сироп Classic Пряная тыква пл/б 1 л, 20629947, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;402;РУБ;кор (6 шт);шт
УТ-00020625;Сироп Амаретто для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;362;РУБ;кор (6 шт);шт
УТ-00020621;Сироп Апельсин для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;362;РУБ;кор (6 шт);шт
УТ-00017506;Сироп банан пл/б 1 л, 20566385, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;340;РУБ;кор (6 шт);шт
УТ-00019040;Сироп Гренадин для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;391;РУБ;кор (6 шт);шт
УТ-00019041;Сироп Зеленая мята для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;345;РУБ;кор (6 шт);шт
УТ-00019042;Сироп Ирландский крем для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;344;РУБ;кор (6 шт);шт
УТ-00018484;Сироп Каштан пл/б, 20607509, Davinci, Беларусь;;Беларусь;389;РУБ;кор (6 шт);шт
УТ-00019044;Сироп Кленовый для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;323;РУБ;кор (6 шт);шт
УТ-00019045;Сироп Клубника для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;352;РУБ;кор (6 шт);шт
УТ-00019046;Сироп Кокос для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;345;РУБ;кор (6 шт);шт
УТ-00019048;Сироп Лесной орех для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;357;РУБ;кор (6 шт);шт
УТ-00019528;Сироп Манго для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;362;РУБ;кор (6 шт);шт
УТ-00019322;Сироп Маракуйя для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;353;РУБ;кор (6 шт);шт
УТ-00017652;Сироп перечная мята пл/б 1 л, 20568314, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;337;РУБ;кор (6 шт);шт
УТ-00018487;Сироп Ром пл/б, 20641512, Davinci, Беларусь;;Беларусь;285;РУБ;кор (6 шт);шт
УТ-00019050;Сироп Сахарный тростник для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;318;РУБ;кор (6 шт);шт
УТ-00018485;Сироп Сливочный Ликер пл/б, 20632510, Davinci, Беларусь;;Беларусь;319;РУБ;кор (6 шт);шт
УТ-00017573;Сироп соленая фисташка пл/б 1 л, 20617314, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;339;РУБ;кор (6 шт);шт
УТ-00018146;Сироп тархун пл/б 1 л, 20617718, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;337;РУБ;кор (6 шт);шт
УТ-00017290;Сироп фундук пл/б 1 л, 20566370, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;318;РУБ;кор (6 шт);шт
УТ-00019053;Сироп Шоколад для барных коктейлей ст/б 1 л, WTS?!, Россия;;Россия;318;РУБ;кор (6 шт);шт
УТ-00017288;Сироп шоколад пл/б 1 л, 20567876, Da Vinci/Гурмикс, Республика Беларусь;;Республика Беларусь;350;РУБ;кор (6 шт);шт
СИ-00002588;"Топпинг ""Соленая карамель"" 1 кг, ""Джелато"", Россия";;Россия;451;РУБ;кор (6 шт);шт
УТ-00004012;Топпинг банан 1 кг, Colibri d'Oro, Россия;;Россия;332;РУБ;кор (6 шт);шт
УТ-00004998;Топпинг ваниль 1 кг, Colibri d'Oro, Россия;;Россия;331;РУБ;кор (6 шт);шт
УТ-00004011;Топпинг вишня 1 кг, Colibri d'Oro, Россия;;Россия;331;РУБ;кор (6 шт);шт
УТ-00003878;Топпинг карамель 1 кг, Colibri d'Oro, Россия;;Россия;325;РУБ;кор (6 шт);шт
УТ-00003823;Топпинг кленовый сироп 1 кг, Colibri d'Oro, Россия;;Россия;332;РУБ;кор (6 шт);шт
УТ-00003822;Топпинг клубника 1 кг, Colibri d'Oro, Россия;;Россия;325;РУБ;кор (6 шт);шт
УТ-00004013;Топпинг лесные ягоды 1 кг, Colibri d'Oro, Россия;;Россия;330;РУБ;кор (6 шт);шт
УТ-00004758;Топпинг малина 1 кг, Colibri d'Oro, Россия;;Россия;331;РУБ;кор (6 шт);шт
УТ-00003879;Топпинг шоколад 1 кг, Colibri d'Oro, Россия;;Россия;325;РУБ;кор (6 шт);шт
;Печенье, вафли, шоколад, конфеты;;;;;;
УТ-00001054;Печенье сахарное Савоярди 400 г, Il Dolce di Montagna, Италия;;Италия;276;РУБ;кор (15 шт);шт
УТ-00009604;Печенье Традиционное 112 г, Юбилейное, Россия;;Россия;38,85;РУБ;кор (36 шт)  кор (60 шт);шт
;;;;;;;
;Замороженные полуфабрикаты;;;;;;
;Тесто замороженное;;;;;;
УТ-00003151;"Тесто ""Фило"" 500 г (9 шт/кор) с/м, Bontier, Россия";;Россия;110;РУБ;кор (9 шт);шт
УТ-00001316;"Тесто слоеное бездрожжевое ""Звездное"" 500 г (16 шт/кор) с/м, 121538, Хлебный дом, Россия";;Россия;92;РУБ;кор (16 шт);шт
УТ-00017861;Тесто слоеное бездрожжевое 500 г (16 шт/кор) с/м, 5002, Черёмушки, Россия;;Россия;103;РУБ;кор (16 шт);шт
УТ-00007724;Тесто слоеное бездрожжевое 500 г (20 шт/кор) с/м, 5565, Черёмушки, Россия;;Россия;99;РУБ;кор (20 шт);шт
УТ-00005329;Тесто слоеное бездрожжевое 500 г, Метрополис, Россия;;Россия;95;РУБ;кор (14 шт);шт
УТ-00001208;"Тесто слоеное дрожжевое ""Звездное"" 500 г (16 шт/кор) с/м, 121536, Хлебный дом, Россия";;Россия;92;РУБ;кор (16 шт);шт
УТ-00007723;Тесто слоеное дрожжевое 500 г (20 шт/кор) с/м, 5567, Черёмушки, Россия;;Россия;96;РУБ;кор (20 шт);шт
УТ-00005110;Тесто слоеное дрожжевое 500 г, Метрополис, Россия;;Россия;95;РУБ;кор (14 шт);шт
;Хлебобулочные изделия;;;;;;
;Багет;;;;;;
СИ-00002646;"Багет ""Французский"" 260 г (12 шт/кор) с/м, 129084, Хлебный дом, Россия";;Россия;31,73;РУБ;кор (12 шт);шт
УТ-00002635;"Багет ""Французский"" 260 г (30 шт/кор) с/м, RB10, Русь Бейкери, Россия";;Россия;45;РУБ;кор (30 шт);шт
СИ-00002434;Багет мини без кунжута 90 г (40 шт/кор) с/м, CREDO, Россия;;Россия;20,47;РУБ;кор (40 шт);шт
СИ-00002435;Багет мини с кунжутом 90 г (40 шт/кор) с/м, CREDO, Россия;;Россия;22,71;РУБ;кор (40 шт);шт
;Булочки;;;;;;
КР-00000006;Булочка Баварская 40 г (90 шт/кор) с/м, 10001, CREDO, Россия;;Россия;7,77;РУБ;кор (90 шт);шт
СИ-00002430;Булочка для гамбургера без кунжута 52 г (100 мм) (80 шт/кор) с/м хлебобулочное изделие, CREDO, Россия;;Россия;11,91;РУБ;кор (80 шт);шт
СИ-00002429;Булочка для гамбургера без кунжута 82 г (125 мм) (48 шт/кор) с/м хлебобулочное изделие, CREDO, Россия;;Россия;15,51;РУБ;кор (48 шт);шт
СИ-00002431;Булочка для гамбургера с кунжутом 52 г (100 мм) (80 шт/кор) с/м хлебобулочное изделие, CREDO, Россия;;Россия;12,37;РУБ;кор (80 шт);шт
СИ-00002433;Булочка для гамбургера с кунжутом 82 г (125 мм) (48 шт/кор) с/м хлебобулочное изделие, CREDO, Россия;;Россия;16,51;РУБ;кор (48 шт);шт
СИ-00002539;Булочка для гамбургера с кунжутом черная 82 г (125 мм) (48 шт/кор) с/м хлебобулочное изделие, CREDO, Россия;;Россия;20,79;РУБ;кор (48 шт);шт
УТ-00017790;Булочка для датского хот-дога 60 г (36 шт/кор) с/м, Schulstad, Россия;;Россия;15,94;РУБ;кор (36 шт);шт
СИ-00002440;Булочка для датского хот-дога без кунжута 60 г (72 шт/кор) с/м, CREDO, Россия;;Россия;13,44;РУБ;кор (72 шт);шт
СИ-00002570;Булочка для датского хот-дога с кунжутом 60 г (72 шт/кор) с/м, CREDO, Россия;;Россия;13,73;РУБ;кор (72 шт);шт
СИ-00002426;Булочка Мультизлаковая с кунжутом 40 г (90 шт/кор) с/м, CREDO, Россия;;Россия;8,95;РУБ;кор (90 шт);шт
СИ-00002428;Булочка с солодом и кориандром 40 г (90 шт/кор) с/м, CREDO, Россия;;Россия;7,47;РУБ;кор (90 шт);шт
СИ-00002501;Булочка с томатом и базиликом 40 г (90 шт/кор) с/м, CREDO, Россия;;Россия;9,12;РУБ;кор (90 шт);шт
КР-00000007;Булочка Французская без кунжута 40 г (90 шт/кор) с/м, 10002, CREDO, Россия;;Россия;7,83;РУБ;кор (90 шт);шт
СИ-00002425;Булочка Французская с кунжутом 40 г (90 шт/кор) с/м, CREDO, Россия;;Россия;8,15;РУБ;кор (90 шт);шт
;Выпечка с/м;;;;;;
УТ-00015248;Круассан классический 80 г (24 шт/кор) с/м, Paneteria, Россия;;Россия;18,98;РУБ;кор (24 шт);шт
СИ-00002629;Круассан классический без начинки 30 гр (72 шт/кор) с/м, 3005, Черёмушки, Россия;;Россия;12,8;РУБ;кор (72 шт);шт
СИ-00002345;Круассан классический без начинки 35гр 40шт/кор с/м, Трио-Инвест, Россия;;Россия;18,64;РУБ;кор (40 шт);шт
УТ-00021056;Круассан миндальный 90 г 8 шт/кор с/м, Планета Мириталь, Россия;;Россия;78;РУБ;кор (8 шт);шт
;Лепешки, тортильи;;;;;;
УТ-00013562;"Тортилья пшеничная 10"" (Ø 25 см) пакет 1098 г (61 г*18 шт/уп*6) с/м, 46072, Россия";;Россия;202;РУБ;кор (108 шт)  кор (6 шт);шт
УТ-00013561;"Тортилья пшеничная оригинальная 10"" (Ø 25 см) 800 г (12 шт/уп*10) с/м хлебобулочное изделие, 44703, Mission Professional, Россия";;Россия;124;РУБ;кор (10 шт)  кор (120 шт);шт
УТ-00013559;"Тортилья пшеничная оригинальная 12"" (Ø 30 см) 1000 г (12 шт/уп*5) с/м хлебобулочное изделие, 40533, Mission Professional, Россия";;Россия;179;РУБ;кор (5 шт);шт
УТ-00013563;"Тортилья сырная 10"" (Ø 25 см) пакет 1170 г (65 г*18 шт/уп*6) с/м, 46077, Россия";;Россия;265;РУБ;кор (6 шт);шт
;Хлеб с/м;;;;;;
УТ-00020412;Хлеб Пшеничный деревенский (300 гр*20 шт) КРАФТ выпечка 100% + заморозка, Мириталь, Россия;;Россия;64;РУБ;кор (20 шт)  кор (8 шт);шт
СИ-00002538;Хлеб пшеничный зерновой тостовый нарезка 850 г (8 шт/кор) с/м, CREDO, Россия;;Россия;148;РУБ;кор (8 шт);шт
СИ-00002438;Хлеб пшеничный тостовый нарезка 850 г (8 шт/кор) с/м, CREDO, Россия;;Россия;132;РУБ;кор (8 шт);шт
СИ-00002541;Хлеб пшеничный тостовый с маком нарезка 850 г (8 шт/кор) с/м, CREDO, Россия;;Россия;148;РУБ;кор (8 шт);шт
СИ-00002439;Хлеб ржаной тостовый нарезка 1000 г (8 шт/кор) с/м, CREDO, Россия;;Россия;144;РУБ;кор (8 шт);шт
;Чиабатта;;;;;;
СИ-00002628;Чиабатта пшеничная 230 г (12 шт/кор) с/м, 5675, Черёмушки, Россия;;Россия;45;РУБ;кор (12 шт);шт
СИ-00002645;Чиабатта пшеничная 230 г (20 шт/кор) с/м, 129287, Хлебный дом, Россия;;Россия;39,24;РУБ;кор (20 шт);шт
УТ-00002608;Чиабатта пшеничная 230 г (25 шт/кор) с/м, RB147, Русь Бейкери, Россия;;Россия;42;РУБ;кор (25 шт);шт
СИ-00002348;Чиабатта пшеничная 280 г (16 шт/кор) с/м, Трио-Инвест, Россия;;Россия;60;РУБ;кор (16 шт);шт
;Блины, пельмени, вареники, сырники;;;;;;
СИ-00001836;"БЛИНЧИКИ без начинки ""Французские"" фас. 3,5 кг с/м, Мириталь, Россия";;Россия;433;РУБ;кор (1 шт);шт
СИ-00001994;БЛИНЧИКИ без начинки фас. 5 кг с/м, ПК Корона, Россия;;Россия;557;РУБ;кор (1 шт);шт
