;Альянс Юг ООО;;;;;;;
;г.Краснодар, ОПХ КНИИСХ 1 отдел ул, дом № 35, тел.: (861) 200-27-96;;;;;;;
;;;;;;;;
;-- Доставка продуктов на следующий день после звонка;;;;;;;
;-- Доставка нашим автотранспортом;;;;;;;
;-- Заказы принимаются по многоканальному телефону;;;;;;;
;;;;;;;;
;-- Цены указаны с учетом НДС;;;;;;;
;-- Прием заказов:;;;;;;;
;  С понедельника по субботу с 9.00 до 18.00;;;Ваш менеджер ____________________;;;;
;;;;Тел._____________________________;;;;
;;;;;;;;
;ПРАЙС - ЛИСТ;;;;;;;
;Дата 15.08.2023;;;;;;;
;Артикул;Наименование товара;Произв.;Ед. изм.;Фасовка;Ед. изм. в кор.;Цена за ед.;
;;;;;;;;
;;Креветки, морепродукты;;;;;;
;39241;"        Тунец филе ""Yellowfin"" AAA б/к (0.5-0.8) с/м вес. - Морская палитра";Hai Vuong Company;кг;1;1;1 384,00;*
;36310;"        Тунец филе ""Yellowfin"" AАА б/к (0.3-0.5) с/м вес. - Китай";Zhoushan Putuo Haichen Aquatic Products;кг;1;1;1139,00;*
;39385;        Тунец филе б/к (2-4) с/м вес. - Вьетнам;An Hai Fishery;кг;1;1;1038,00;*
;39696;        Форель радужная тушка непотр. с/г (300/500) с/м вес. - Турция;Politek Insaat Ambalaj Gida Ve Su Urunleri San. Ve Tic. A.S.;кг;1;1;432,00;*
;37037;        Форель радужная тушка потр. с/г (200/250) с/м 5кг - Турция;TSM Deniz Urunleri San;упак;5;1;2 490,00;*
;40093;        Форель радужная тушка потр. с/г (250/300) с/м 10кг - Россия;Питерское;упак;10;1;5 452,00;*
;25214;        Форель радужная тушка потр. с/г (2шт. в карт. коробке) с/м 0.34кг - Турция;Liman Entegre Balikcilik;упак;0,34;12;237,00;*
;38516;        Форель радужная тушка потр. с/г (300/350) с/м 5кг - Турция;Kilic Deniz Urn.;упак;5;1;3 481,00;*
;39968;        Форель радужная тушка потр. с/г (350/400) с/м 11кг - Иран;Ghezel Protein Sami Gharb;упак;11;1;6 170,00;*
;38547;        Форель филе н/к (1.5-2) trim PR с/м вес. - Россия;Лебедь;кг;1;1;1 986,00;*
;38904;        Чилийский сибас тушка потр. б/г (6-8 кг/шт) с/м вес. - Китай;Weihai Transport Aquatic Food;кг;1;1;4 615,00;*
;38157;        Щука филе б/к с/м 10кг - Россия;Альфа-М;упак;10;1;4 941,00;*
;;Изделия из сурими;;;;;;
;;    Крабовые палочки, ломтики;;;;;;
;24053;        Крабовые палочки (имитация) с/м 0.5кг - Снежный краб;Вичюнай-Русь;упак;0,5;6;222,00;*
;39101;        Крабовые палочки (имитация) с/м 1кг - VICI;Вичюнай-Русь;упак;1;5;243,00;*
