Ценовая зона;Категория;Артикул;Названия артикула;Вложение;Цена без НДС;Цена с НДС;Дата старта;Дата завершения;
Sochi;Spirits;221158;_0,36Л СПИРТНОЙ НАПИТОК SOJU CHUM CHURUM КЛУБНИКА;1;514,15;616,98;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221159;_0,36Л СПИРТНОЙ НАПИТОК SOJU CHUM CHURUM ПЕРСИК;1;514,15;616,98;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221160;_0,7Л ВИСКИ SMOKEY JOE ISLAY MALT ПУ;1;5149,15;6178,98;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221326;_0,7Л ВИСКИ TOMINTOUL SPEYSIDE GLENLIVET 16 ЛЕТ ПУ;1;8582,47;10298,96;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221355;_0,7Л ВИСКИ MIDAI КУПАЖИРОВАННЫЙ;1;1801,65;2161,98;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221356;_0,7Л ВИСКИ NIRASAKI КУПАЖИРОВАННЫЙ;1;1999,05;2398,86;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221871;_0,7Л ЛИКЕР ДЕСЕРТНЫЙ ALTEN KRAUTERFRAU;1;857,47;1028,96;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221874;_0,7Л ЛИКЕР ЭМУЛЬСИОННЫЙ PEAKY BLINDERS;1;1410,46;1692,55;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;221874;_0,7Л ЛИКЕР ЭМУЛЬСИОННЫЙ PEAKY BLINDERS;1;1410,46;1692,55;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;221874;_0,7Л ЛИКЕР ЭМУЛЬСИОННЫЙ PEAKY BLINDERS;1;1410,46;1692,55;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;221878;_0,5Л ДЖИН GREEN BABOON;1;331,62;397,94;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;221885;_0,75Л РОМ CALENTER ПУ;1;1200,8;1440,96;14 Sept 2023;20 Sept 2023;
