Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114230;;;;Пирожное макаронс черная смородина Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115836;;;;Торт Ассорти Чизкейков Smart Chef 12 порций 1560 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1339,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115233;;;;Торт Брусничный Smart Chef 12 порций 1260 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1169,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109177;;;;Торт вишневый п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;649,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109178;;;;Торт карамельно-ореховый п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;579,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114409;;;;Торт Красный Бархат Smart Chef 12 порций 1440 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1099,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;99973;;;;Торт Медовый 12 порций Россия Бенье 1440 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;1009,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109180;;;;Торт медовый п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;429,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109180;;;;Торт медовый п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;429,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115231;;;;Торт Молочная девочка Smart Chef 12 порций 1320 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1239,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
